Inflation Rates,,,,,
Month,2019,2020,2021,2022,2023
January, 10.75 , 2.23 , 5.43 , 5.34 , 6.30 
February, 1.67 , 13.52 , 3.45 , 6.99 , 4.40 
March , 4.38 , 26.59 , 2.26 , 6.31 ,0
April, 5.52 , 17.64 , 1.58 , 15.55 ,0
May, 12.54 , 15.13 , 2.54 , 20.97 ,0
June, 39.26 , 31.66 , 3.88 , 30.70 ,0
July, 21.04 , 35.53 , 2.56 , 25.56 ,0
August, 18.07 , 8.44 , 4.19 , 12.38 ,0
September, 17.72 , 3.83 , 4.73 , 3.47 ,0
October, 38.75 , 4.37 , 6.40 , 3.15 ,0
November, 17.46 , 3.15 , 5.76 , 1.80 ,0
December, 16.55 , 4.22 , 5.76 , 2.42 ,0
